user_id,created_at,company_id,language,activated_at,state
0.0,2013-01-01T14:32:28,5373.0,french,,pending
1.0,2013-01-01T09:56:58,1877.0,indian,,pending
2.0,2013-01-01T18:20:18,6135.0,english,2013-01-01T18:21:55,active
3.0,2013-01-01T01:35:17,12910.0,english,,pending
4.0,2013-01-01T05:35:47,8966.0,english,2013-01-01T05:37:20,active
5.0,2013-01-01T16:13:38,792.0,german,,pending
6.0,2013-01-01T13:29:39,92.0,french,2013-01-01T13:31:21,active
7.0,2013-01-01T04:14:23,5370.0,english,,pending
8.0,2013-01-01T15:38:43,9079.0,french,2013-01-01T15:40:12,active
9.0,2013-01-01T10:04:31,10674.0,french,,pending
10.0,2013-01-01T22:02:58,12332.0,chinese,2013-01-01T22:04:16,active
11.0,2013-01-01T04:41:13,1.0,german,2013-01-01T04:42:33,active
12.0,2013-01-01T14:01:09,193.0,english,2013-01-01T14:02:40,active
13.0,2013-01-01T15:09:47,2966.0,english,,pending
14.0,2013-01-02T11:11:55,6.0,spanish,2013-01-02T11:13:29,active
15.0,2013-01-02T17:36:43,13006.0,english,,pending
16.0,2013-01-02T18:03:37,11883.0,english,,pending
17.0,2013-01-02T01:57:32,2543.0,english,2013-01-02T01:58:56,active
18.0,2013-01-02T12:25:25,1.0,german,,pending
19.0,2013-01-02T04:24:48,7308.0,english,2013-01-02T04:26:28,active
20.0,2013-01-02T16:32:11,12381.0,english,2013-01-02T16:33:41,active
21.0,2013-01-02T09:01:11,3136.0,arabic,,pending
22.0,2013-01-02T17:18:03,10575.0,english,2013-01-02T17:19:26,active
23.0,2013-01-02T11:21:03,2297.0,japanese,2013-01-02T11:22:37,active
24.0,2013-01-02T15:11:05,7262.0,german,2013-01-02T15:12:34,active
25.0,2013-01-02T04:19:12,2704.0,english,2013-01-02T04:20:22,active
26.0,2013-01-02T14:25:35,2.0,english,2013-01-02T14:27:24,active
27.0,2013-01-03T10:00:17,10144.0,portugese,2013-01-03T10:01:47,active
28.0,2013-01-03T14:45:51,5577.0,spanish,2013-01-03T14:47:14,active
29.0,2013-01-03T00:28:10,4292.0,english,,pending
30.0,2013-01-03T07:22:57,1220.0,english,,pending
31.0,2013-01-03T11:34:56,9870.0,spanish,,pending
32.0,2013-01-03T14:44:30,2524.0,japanese,2013-01-03T14:45:55,active
33.0,2013-01-03T16:33:00,11.0,english,2013-01-03T16:34:14,active
34.0,2013-01-03T17:43:45,24.0,english,2013-01-03T17:45:07,active
35.0,2013-01-03T13:04:32,4630.0,japanese,2013-01-03T13:05:38,active
36.0,2013-01-03T12:03:57,9654.0,english,,pending
37.0,2013-01-03T10:33:40,6633.0,spanish,,pending
38.0,2013-01-03T21:19:09,1403.0,english,,pending
39.0,2013-01-03T17:51:05,6848.0,english,,pending
40.0,2013-01-04T05:44:44,5326.0,french,,pending
41.0,2013-01-04T01:40:04,1.0,french,,pending
42.0,2013-01-04T00:44:21,9386.0,english,,pending
